,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,San Antonio Spurs*,62,20,.756,—,106.6,100.6,5.90,West,1
1,Utah Jazz*,60,22,.732,2.0,106.4,98.4,7.76,West,2
2,Phoenix Suns*,59,23,.720,—,110.6,106.8,3.86,West,7
3,Orlando Magic*,57,25,.695,—,110.9,103.8,6.44,East,1
4,Seattle SuperSonics*,57,25,.695,2.0,110.4,102.2,7.91,West,8
5,New York Knicks*,55,27,.671,2.0,98.2,95.1,2.78,East,2
6,Indiana Pacers*,52,30,.634,—,99.2,95.5,3.35,East,8
7,Charlotte Hornets*,50,32,.610,2.0,100.6,97.3,2.87,East,9
8,Los Angeles Lakers*,48,34,.585,11.0,105.1,105.3,-0.01,West,9
9,Houston Rockets*,47,35,.573,15.0,103.5,101.4,2.32,West,3
10,Chicago Bulls*,47,35,.573,5.0,101.5,96.7,4.32,East,10
11,Portland Trail Blazers*,44,38,.537,15.0,103.1,99.2,3.80,West,10
12,Cleveland Cavaliers*,43,39,.524,9.0,90.5,89.8,0.55,East,11
13,Atlanta Hawks*,42,40,.512,10.0,96.6,95.3,1.06,East,12
14,Denver Nuggets*,41,41,.500,21.0,101.3,100.5,0.96,West,4
15,Sacramento Kings,39,43,.476,20.0,98.2,99.2,-0.74,West,11
16,Dallas Mavericks,36,46,.439,26.0,103.2,106.1,-2.39,West,5
17,Boston Celtics*,35,47,.427,22.0,102.8,104.7,-1.92,East,3
18,Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,-4.30,East,13
19,Miami Heat,32,50,.390,25.0,101.1,102.8,-1.85,East,4
20,New Jersey Nets,30,52,.366,27.0,98.1,101.2,-3.28,East,5
21,Detroit Pistons,28,54,.341,24.0,98.2,105.5,-7.08,East,14
22,Golden State Warriors,26,56,.317,33.0,105.7,111.1,-4.90,West,12
23,Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,-5.06,East,6
24,Minnesota Timberwolves,21,61,.256,41.0,94.2,103.2,-8.22,West,6
25,Washington Bullets,21,61,.256,36.0,100.5,106.1,-5.56,East,7
26,Los Angeles Clippers,17,65,.207,42.0,96.7,105.8,-8.43,West,13
