,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Boston Celtics*,67,15,.817,—,114.1,104.7,9.06,East,1
1,Los Angeles Lakers*,62,20,.756,—,117.3,109.5,6.84,West,7
2,Milwaukee Bucks*,57,25,.695,—,114.5,105.5,8.69,East,6
3,Philadelphia 76ers*,54,28,.659,13.0,110.4,108.0,2.46,East,2
4,Houston Rockets*,51,31,.622,—,114.4,111.8,2.10,West,1
5,Atlanta Hawks*,50,32,.610,7.0,108.6,106.2,2.59,East,7
6,Denver Nuggets*,47,35,.573,4.0,114.8,113.5,0.89,West,2
7,Detroit Pistons*,46,36,.561,11.0,114.2,113.0,1.44,East,8
8,Dallas Mavericks*,44,38,.537,7.0,115.3,114.2,0.70,West,3
9,Utah Jazz*,42,40,.512,9.0,108.2,108.5,-0.67,West,4
10,Portland Trail Blazers*,40,42,.488,22.0,115.1,114.0,0.61,West,8
11,Washington Bullets*,39,43,.476,28.0,103.0,104.8,-1.28,East,3
12,New Jersey Nets*,39,43,.476,28.0,109.1,111.1,-1.39,East,4
13,Sacramento Kings*,37,45,.451,14.0,108.8,111.9,-3.19,West,5
14,San Antonio Spurs*,35,47,.427,16.0,111.2,113.1,-2.06,West,6
15,Phoenix Suns,32,50,.390,30.0,110.0,113.0,-3.16,West,9
16,Los Angeles Clippers,32,50,.390,30.0,108.6,115.5,-6.83,West,10
17,Seattle SuperSonics,31,51,.378,31.0,104.4,104.5,-0.47,West,11
18,Chicago Bulls*,30,52,.366,27.0,109.3,113.1,-3.12,East,9
19,Golden State Warriors,30,52,.366,32.0,113.4,116.9,-3.59,West,12
20,Cleveland Cavaliers,29,53,.354,28.0,107.8,110.6,-2.19,East,10
21,Indiana Pacers,26,56,.317,31.0,103.9,107.2,-2.66,East,11
22,New York Knicks,23,59,.280,44.0,98.7,104.3,-4.82,East,5
