,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Dallas Mavericks*,82,19805,3322,7230,0.459,507,1456,0.348,2815,5774,0.488,1475,1854,0.796,1174,2538,3712,1963,656,437,1000,1609,8626
1,2.0,Sacramento Kings*,82,19780,3103,6711,0.462,601,1498,0.401,2502,5213,0.48,1626,2044,0.795,888,2492,3380,2152,710,325,1137,1586,8433
2,3.0,Los Angeles Lakers*,82,19855,3028,6676,0.454,365,1115,0.327,2663,5561,0.479,1631,2352,0.693,1001,2535,3536,1948,682,379,1132,1732,8052
3,4.0,Milwaukee Bucks*,82,19780,2970,6650,0.447,401,1145,0.35,2569,5505,0.467,1698,2192,0.775,960,2502,3462,1872,554,383,1110,1668,8039
4,5.0,Denver Nuggets*,82,19730,2993,6763,0.443,331,985,0.336,2662,5778,0.461,1655,2159,0.767,1083,2387,3470,1794,745,520,1278,1804,7972
5,6.0,Seattle SuperSonics,82,19805,2939,6590,0.446,723,1936,0.373,2216,4654,0.476,1363,1782,0.765,907,2318,3225,1782,661,387,1188,1784,7964
6,7.0,Memphis Grizzlies*,82,19880,2963,6657,0.445,447,1314,0.34,2516,5343,0.471,1557,2143,0.727,1047,2381,3428,1915,795,565,1226,1903,7930
7,8.0,Boston Celtics*,82,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811
8,9.0,Los Angeles Clippers,82,19805,2817,6579,0.428,329,1024,0.321,2488,5555,0.448,1808,2302,0.785,1149,2416,3565,1653,594,376,1344,1816,7771
9,10.0,Minnesota Timberwolves*,82,19755,3033,6571,0.462,326,897,0.363,2707,5674,0.477,1361,1743,0.781,875,2645,3520,1890,561,462,1043,1731,7753
10,11.0,Phoenix Suns,82,19730,2958,6671,0.443,415,1202,0.345,2543,5469,0.465,1392,1865,0.746,924,2406,3330,1586,734,383,1249,1862,7723
11,12.0,Orlando Magic,82,19830,2904,6768,0.429,429,1248,0.344,2475,5520,0.448,1474,2000,0.737,1003,2350,3353,1584,547,308,1123,1744,7711
12,13.0,Golden State Warriors,82,19855,2875,6511,0.442,429,1283,0.334,2446,5228,0.468,1470,2028,0.725,1002,2533,3535,1681,576,389,1211,1691,7649
13,14.0,Cleveland Cavaliers,82,19855,2922,6753,0.433,247,786,0.314,2675,5967,0.448,1528,2030,0.753,1118,2619,3737,1808,585,537,1216,1743,7619
14,15.0,Atlanta Hawks,82,19905,2829,6529,0.433,419,1249,0.335,2410,5280,0.456,1534,1976,0.776,996,2507,3503,1648,627,408,1350,1826,7611
15,16.0,New York Knicks*,82,19880,2881,6513,0.442,406,1115,0.364,2475,5398,0.459,1374,1732,0.793,950,2543,3493,1695,608,391,1289,1897,7542
16,17.0,New Orleans Hornets*,82,19830,2772,6605,0.42,531,1666,0.319,2241,4939,0.454,1454,1937,0.751,1091,2418,3509,1716,708,346,1228,1715,7529
17,18.0,Washington Wizards,82,19830,2758,6556,0.421,433,1269,0.341,2325,5287,0.44,1579,2211,0.714,1115,2392,3507,1537,733,406,1439,1712,7528
18,19.0,San Antonio Spurs*,82,19755,2842,6434,0.442,408,1140,0.358,2434,5294,0.46,1409,2069,0.681,1029,2669,3698,1676,661,537,1203,1667,7501
19,20.0,Indiana Pacers*,82,19805,2753,6322,0.435,449,1281,0.351,2304,5041,0.457,1538,2014,0.764,965,2452,3417,1774,726,411,1182,1709,7493
20,21.0,Portland Trail Blazers,82,19980,2898,6467,0.448,381,1102,0.346,2517,5365,0.469,1263,1728,0.731,1040,2376,3416,1768,613,443,1213,1554,7440
21,22.0,Miami Heat*,82,19755,2729,6417,0.425,485,1357,0.357,2244,5060,0.443,1459,1915,0.762,940,2459,3399,1565,590,313,1137,1812,7402
22,23.0,New Jersey Nets*,82,19705,2813,6372,0.441,377,1123,0.336,2436,5249,0.464,1398,1856,0.753,862,2473,3335,2009,709,322,1209,1722,7401
23,24.0,Detroit Pistons*,82,19780,2747,6314,0.435,333,968,0.344,2414,5346,0.452,1561,2074,0.753,1014,2492,3506,1702,659,570,1241,1664,7388
24,25.0,Houston Rockets*,82,19930,2738,6195,0.442,515,1406,0.366,2223,4789,0.464,1371,1774,0.773,847,2647,3494,1579,560,443,1373,1762,7362
25,26.0,Chicago Bulls,82,19830,2798,6753,0.414,429,1256,0.342,2369,5497,0.431,1330,1834,0.725,1048,2519,3567,1793,659,396,1321,1911,7355
26,27.0,Utah Jazz,82,19780,2690,6172,0.436,252,786,0.321,2438,5386,0.453,1639,2196,0.746,1103,2272,3375,1671,583,494,1365,2096,7271
27,28.0,Philadelphia 76ers,82,19855,2682,6260,0.428,339,992,0.342,2343,5268,0.445,1512,2009,0.753,941,2408,3349,1640,654,358,1307,1701,7215
28,29.0,Toronto Raptors,82,19980,2654,6348,0.418,461,1294,0.356,2193,5054,0.434,1237,1650,0.75,830,2419,3249,1574,604,402,1164,1748,7006
29,,League Average,82,19820,2871,6545,0.439,425,1224,0.347,2446,5321,0.46,1492,1985,0.752,991,2469,3461,1747,650,415,1228,1759,7659
