,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Charlotte Hornets,65,15750,2708,5690,0.476,803,2279,0.352,1905,3411,0.558,907,1197,0.758,711,2276,2987,1732,523,328,935,1337,7126
1,2.0,Chicago Bulls,65,15675,2568,5364,0.479,726,2057,0.353,1842,3307,0.557,1283,1691,0.759,660,2299,2959,1653,530,384,1187,1246,7145
2,3.0,Detroit Pistons,66,15965,2768,5764,0.48,705,1952,0.361,2063,3812,0.541,1072,1379,0.777,668,2204,2872,1625,543,369,923,1308,7313
3,4.0,New York Knicks,66,15965,2631,5678,0.463,877,2303,0.381,1754,3375,0.52,1270,1696,0.749,632,2284,2916,1605,474,333,907,1305,7409
4,5.0,Cleveland Cavaliers,65,15725,2851,5811,0.491,804,2143,0.375,2047,3668,0.558,955,1245,0.767,633,2154,2787,1699,613,412,844,1277,7461
5,6.0,Golden State Warriors,65,15725,2743,5760,0.476,879,2261,0.389,1864,3499,0.533,1113,1422,0.783,661,2359,3020,1698,536,321,1016,1308,7478
6,7.0,Minnesota Timberwolves,64,15560,2760,5786,0.477,740,2040,0.363,2020,3746,0.539,1263,1613,0.783,647,2383,3030,1560,499,355,992,1383,7523
7,8.0,Los Angeles Lakers*,71,17090,2773,6187,0.448,827,2373,0.349,1946,3814,0.51,1270,1626,0.781,668,2333,3001,1662,585,263,1130,1544,7643
8,9.0,Toronto Raptors*,72,17380,2721,6359,0.428,943,2798,0.337,1778,3561,0.499,1284,1670,0.769,786,2530,3316,1841,520,395,1212,1466,7669
9,10.0,Boston Celtics*,72,17430,2764,6268,0.441,851,2504,0.34,1913,3764,0.508,1350,1761,0.767,743,2449,3192,1613,514,396,1097,1487,7729
10,11.0,Oklahoma City Thunder*,72,17430,2937,6454,0.455,814,2395,0.34,2123,4059,0.523,1119,1408,0.795,754,2472,3226,1656,505,290,1024,1641,7807
11,12.0,Utah Jazz*,72,17355,2930,6417,0.457,790,2235,0.353,2140,4182,0.512,1185,1545,0.767,688,2386,3074,1548,566,329,889,1501,7835
12,13.0,Indiana Pacers*,73,17620,2883,6459,0.446,837,2455,0.341,2046,4004,0.511,1243,1577,0.788,757,2545,3302,1686,504,335,1071,1373,7846
13,14.0,Orlando Magic*,73,17570,2949,6343,0.465,893,2453,0.364,2056,3890,0.529,1114,1445,0.771,660,2616,3276,1804,511,338,1065,1420,7905
14,15.0,Philadelphia 76ers*,73,17595,2905,6275,0.463,759,2148,0.353,2146,4127,0.52,1341,1786,0.751,628,2426,3054,1661,510,294,1009,1493,7910
15,16.0,Los Angeles Clippers*,72,17380,2846,6494,0.438,886,2566,0.345,1960,3928,0.499,1335,1766,0.756,771,2491,3262,1709,540,338,1013,1647,7913
16,17.0,Milwaukee Bucks*,73,17595,2843,6862,0.414,1020,2871,0.355,1823,3991,0.457,1221,1551,0.787,693,2651,3344,1764,538,326,1030,1586,7927
17,18.0,Miami Heat*,73,17745,2831,6326,0.448,956,2753,0.347,1875,3573,0.525,1346,1720,0.783,674,2431,3105,1794,545,302,1022,1584,7964
18,19.0,Denver Nuggets*,73,17745,2919,6311,0.463,885,2473,0.358,2034,3838,0.53,1247,1643,0.759,736,2377,3113,1852,525,324,1041,1494,7970
19,20.0,Atlanta Hawks,67,16280,2903,6078,0.478,797,2194,0.363,2106,3884,0.542,1419,1839,0.772,748,2402,3150,1674,600,428,1006,1404,8022
20,21.0,Sacramento Kings,72,17455,2898,6158,0.471,894,2506,0.357,2004,3652,0.549,1384,1752,0.79,654,2481,3135,1791,557,304,1094,1404,8074
21,22.0,Brooklyn Nets*,72,17480,2981,6688,0.446,877,2505,0.35,2104,4183,0.503,1250,1625,0.769,766,2541,3307,1630,554,379,919,1521,8089
22,23.0,San Antonio Spurs,71,17215,3004,6402,0.469,931,2493,0.373,2073,3909,0.53,1238,1594,0.777,665,2551,3216,1825,486,308,937,1424,8177
23,24.0,Houston Rockets*,72,17380,3045,6589,0.462,880,2522,0.349,2165,4067,0.532,1299,1706,0.761,803,2645,3448,1819,578,354,1163,1515,8269
24,25.0,Phoenix Suns,73,17595,3011,6378,0.472,848,2335,0.363,2163,4043,0.535,1408,1787,0.788,664,2497,3161,1723,576,401,1139,1653,8278
25,26.0,Memphis Grizzlies,73,17570,2964,6592,0.45,942,2580,0.365,2022,4012,0.504,1430,1828,0.782,756,2519,3275,1814,585,386,1080,1474,8300
26,27.0,Dallas Mavericks*,75,18175,3143,6868,0.458,919,2615,0.351,2224,4253,0.523,1200,1578,0.76,782,2625,3407,1794,525,311,896,1601,8405
27,28.0,New Orleans Pelicans,72,17430,3077,6611,0.465,880,2438,0.361,2197,4173,0.526,1400,1775,0.789,727,2501,3228,1763,615,348,1045,1519,8434
28,29.0,Washington Wizards,72,17355,3104,6363,0.488,896,2386,0.376,2208,3977,0.555,1470,1890,0.778,753,2572,3325,1814,541,363,1163,1601,8574
29,30.0,Portland Trail Blazers*,74,17835,3090,6781,0.456,1003,2619,0.383,2087,4162,0.501,1410,1828,0.771,852,2617,3469,1840,502,364,953,1488,8593
30,,League Average,71,17069,2885,6271,0.46,862,2408,0.358,2023,3862,0.524,1261,1631,0.773,711,2454,3165,1722,540,346,1027,1467,7893
