,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Houston Rockets,82,19680,3772,8249,0.457,,,,3772,8249,0.457,1706,2152,0.793,,,4060,1939,,,,1949,9250
1,2.0,Boston Celtics*,82,19730,3811,8511,0.448,,,,3811,8511,0.448,1616,2073,0.78,,,4802,2320,,,,1805,9238
2,3.0,Atlanta Hawks*,82,19830,3700,8033,0.461,,,,3700,8033,0.461,1819,2482,0.733,,,4174,2074,,,,1916,9219
3,4.0,Los Angeles Lakers*,82,19755,3740,7819,0.478,,,,3740,7819,0.478,1679,2264,0.742,,,4562,2302,,,,1636,9159
4,5.0,Phoenix Suns,82,19755,3612,7942,0.455,,,,3612,7942,0.455,1931,2437,0.792,,,4003,1944,,,,2012,9155
5,6.0,Detroit Pistons,82,19780,3666,7916,0.463,,,,3666,7916,0.463,1710,2294,0.745,,,4105,1882,,,,1812,9042
6,7.0,Golden State Warriors*,82,19730,3715,8163,0.455,,,,3715,8163,0.455,1493,1871,0.798,,,4405,1985,,,,1693,8923
7,8.0,Kansas City-Omaha Kings,82,19780,3621,7581,0.478,,,,3621,7581,0.478,1580,2036,0.776,,,3628,2118,,,,2054,8822
8,9.0,Milwaukee Bucks*,82,19755,3759,7808,0.481,,,,3759,7808,0.481,1271,1687,0.753,,,4245,2226,,,,1763,8789
9,10.0,Portland Trail Blazers,82,19730,3588,7842,0.458,,,,3588,7842,0.458,1531,2129,0.719,,,3928,2102,,,,1970,8707
10,11.0,New York Knicks*,82,19730,3627,7764,0.467,,,,3627,7764,0.467,1356,1739,0.78,,,3882,2187,,,,1775,8610
11,12.0,Baltimore Bullets*,82,19730,3656,7883,0.464,,,,3656,7883,0.464,1294,1742,0.743,,,4205,2051,,,,1672,8606
12,13.0,Philadelphia 76ers,82,19730,3471,8264,0.42,,,,3471,8264,0.42,1598,2130,0.75,,,4174,1688,,,,1984,8540
13,14.0,Chicago Bulls*,82,19805,3480,7835,0.444,,,,3480,7835,0.444,1574,2073,0.759,,,4000,2023,,,,1881,8534
14,15.0,Seattle SuperSonics,82,19780,3447,7681,0.449,,,,3447,7681,0.449,1606,2080,0.772,,,4161,1958,,,,1877,8500
15,16.0,Buffalo Braves,82,19730,3536,7877,0.449,,,,3536,7877,0.449,1399,1966,0.712,,,4158,2218,,,,2034,8471
16,17.0,Cleveland Cavaliers,82,19830,3431,7884,0.435,,,,3431,7884,0.435,1556,2084,0.747,,,4063,2106,,,,1941,8418
17,,League Average,82,19756,3625,7944,0.456,,,,3625,7944,0.456,1572,2073,0.758,,,4150,2066,,,,1869,8823
