,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,24,DEN,80,78,32.7,7.4,16.0,0.46,0.5,1.7,0.316,6.8,14.3,0.476,0.476,2.7,2.9,0.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0
1,Danny Ainge,SG,34,PHO,68,1,22.9,3.3,7.9,0.417,1.2,3.6,0.328,2.1,4.3,0.491,0.492,1.1,1.4,0.83,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9
2,Kenny Anderson,PG,23,NJN,82,82,38.2,7.0,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8
3,Nick Anderson,SG,26,ORL,81,81,34.7,6.2,13.0,0.478,1.2,3.9,0.322,5.0,9.1,0.545,0.526,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8
4,Willie Anderson,SG,27,SAS,80,79,31.1,4.9,10.5,0.471,0.3,0.9,0.324,4.7,9.6,0.484,0.484,1.8,2.1,0.848,0.9,2.2,3.0,4.3,0.9,0.6,1.9,2.3,11.9
5,Greg Anthony,PG,26,NYK,80,36,24.9,2.8,7.1,0.394,0.6,2.0,0.3,2.2,5.1,0.431,0.436,1.6,2.1,0.774,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2.0,7.9
6,B.J. Armstrong,PG,26,CHI,82,82,33.8,5.8,12.3,0.476,0.7,1.6,0.444,5.1,10.6,0.481,0.505,2.4,2.8,0.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8
7,Vincent Askew,SG,27,SEA,80,3,21.1,3.4,7.1,0.481,0.1,0.4,0.194,3.3,6.7,0.498,0.487,2.2,2.6,0.829,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1
8,Keith Askins,SF,26,MIA,37,0,8.6,1.0,2.4,0.409,0.1,0.6,0.19,0.9,1.8,0.478,0.432,0.2,0.3,0.9,0.9,1.3,2.2,0.4,0.3,0.0,0.6,1.5,2.3
9,Stacey Augmon,SG,25,ATL,82,82,31.8,5.4,10.5,0.51,0.0,0.1,0.143,5.3,10.4,0.513,0.51,4.1,5.3,0.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8
