,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shareef Abdur-Rahim,PF,29,SAC,6,0,21.5,3.8,7.2,0.535,0.0,0.5,0.0,3.8,6.7,0.575,0.535,1.5,2.5,0.6,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2
1,Malik Allen,PF,27,CHI,6,6,19.3,2.3,5.0,0.467,0.0,0.0,0.0,2.3,5.0,0.467,0.467,0.0,0.2,0.0,0.8,2.2,3.0,1.2,0.3,1.0,1.7,2.7,4.7
2,Derek Anderson,SG,31,MIA,8,0,8.3,0.8,2.5,0.3,0.6,1.8,0.357,0.1,0.8,0.167,0.425,0.9,1.0,0.875,0.0,1.1,1.1,0.6,0.3,0.0,0.4,1.6,3.0
3,Shandon Anderson,SF,32,MIA,13,0,6.9,0.3,1.0,0.308,0.1,0.2,0.333,0.2,0.8,0.3,0.346,0.3,0.5,0.667,0.2,0.7,0.9,0.3,0.0,0.1,0.5,0.6,1.0
4,Carmelo Anthony,SF,21,DEN,5,5,38.6,6.6,19.8,0.333,0.0,0.8,0.0,6.6,19.0,0.347,0.333,7.8,10.4,0.75,2.4,4.2,6.6,2.8,0.8,0.2,3.0,4.0,21.0
5,Gilbert Arenas,PG,24,WAS,6,6,47.3,10.8,23.3,0.464,3.3,7.7,0.435,7.5,15.7,0.479,0.536,9.0,11.7,0.771,1.2,4.3,5.5,5.3,2.2,0.7,3.3,3.5,34.0
6,Darrell Armstrong,PG,37,DAL,11,0,4.3,0.3,1.4,0.2,0.0,0.6,0.0,0.3,0.7,0.375,0.2,0.2,0.2,1.0,0.1,0.5,0.6,0.2,0.3,0.1,0.1,0.8,0.7
7,Chucky Atkins,PG,31,MEM,4,4,25.8,3.8,9.3,0.405,1.0,2.8,0.364,2.8,6.5,0.423,0.459,1.3,2.0,0.625,0.0,0.8,0.8,3.0,0.5,0.0,1.0,3.8,9.8
8,Leandro Barbosa,SG,23,PHO,20,3,31.6,5.2,11.0,0.47,1.4,3.5,0.391,3.8,7.5,0.507,0.532,2.5,2.9,0.862,0.3,1.4,1.6,2.7,0.8,0.2,1.5,3.3,14.2
9,Brent Barry,SG,34,SAS,13,2,23.2,2.6,4.7,0.557,1.3,2.6,0.5,1.3,2.1,0.63,0.697,1.2,1.6,0.762,0.2,2.2,2.5,1.7,0.7,0.2,0.7,2.2,7.8
10,Shane Battier,SF,27,MEM,4,4,32.3,2.5,5.0,0.5,0.5,1.8,0.286,2.0,3.3,0.615,0.55,0.5,1.5,0.333,1.8,4.0,5.8,0.5,1.0,0.5,2.0,4.0,6.0
