,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Charlotte Bobcats*,82,19880,39.1,87.3,0.448,7.7,22.7,0.338,31.4,64.7,0.486,17.0,22.8,0.743,11.6,31.8,43.4,22.3,8.2,6.7,16.8,24.1,102.8
1,2,Milwaukee Bucks*,82,19980,37.6,83.3,0.451,5.7,16.7,0.343,31.9,66.6,0.478,22.2,29.0,0.765,10.3,35.7,46.0,20.7,7.5,5.5,16.4,21.8,103.1
2,3,Orlando Magic*,82,19730,39.1,89.1,0.438,6.9,19.0,0.363,32.2,70.1,0.459,18.2,24.2,0.754,10.6,32.8,43.4,20.5,7.3,3.8,13.9,24.0,103.3
3,4,Los Angeles Lakers*,82,19830,39.8,89.2,0.446,6.8,20.7,0.328,33.0,68.5,0.481,17.4,23.2,0.75,11.9,33.2,45.1,23.4,7.5,4.7,15.1,22.7,103.7
4,5,Boston Celtics*,82,19780,38.1,84.6,0.451,6.2,18.2,0.342,31.9,66.4,0.481,21.3,28.5,0.746,11.5,32.0,43.5,21.0,7.7,5.1,17.0,23.5,103.8
5,6,Cleveland Cavaliers*,82,19780,39.0,88.1,0.442,7.0,20.1,0.347,32.0,68.0,0.471,19.2,25.3,0.757,10.5,31.4,42.0,22.1,7.2,4.3,13.9,22.7,104.1
6,7,Miami Heat*,82,19880,37.9,86.3,0.439,7.1,20.6,0.342,30.8,65.7,0.469,21.2,28.2,0.754,11.5,33.4,45.0,20.8,7.0,4.8,15.9,22.1,104.1
7,8,San Antonio Spurs*,82,19780,40.0,88.6,0.452,5.5,15.9,0.343,34.6,72.7,0.476,19.0,25.1,0.756,10.8,32.1,42.9,20.9,7.5,5.5,13.7,22.1,104.5
8,9,Oklahoma City Thunder*,82,19805,39.1,87.5,0.448,6.3,18.4,0.34,32.9,69.1,0.476,20.1,26.3,0.764,12.2,31.2,43.4,21.1,8.0,5.0,16.1,22.8,104.6
9,10,Utah Jazz*,82,19755,37.7,83.8,0.449,7.1,20.2,0.354,30.5,63.6,0.48,22.5,29.6,0.762,10.8,30.8,41.6,21.1,8.2,5.8,16.0,23.5,105.0
10,11,Chicago Bulls*,82,19905,39.4,89.2,0.442,7.6,21.8,0.348,31.8,67.4,0.472,18.9,25.4,0.744,11.9,33.5,45.4,22.2,7.5,5.7,14.1,21.3,105.3
11,12,Dallas Mavericks*,82,19880,40.6,88.8,0.457,6.9,19.8,0.347,33.7,69.0,0.488,18.3,24.1,0.758,12.0,33.8,45.9,21.7,7.3,4.4,15.6,21.6,106.3
12,13,Atlanta Hawks*,82,19855,40.9,88.8,0.46,6.4,18.7,0.345,34.4,70.2,0.491,18.5,24.8,0.745,12.4,33.1,45.5,23.1,6.8,4.8,15.2,21.2,106.7
13,14,Indiana Pacers,82,19705,39.1,86.3,0.453,6.4,17.6,0.363,32.7,68.6,0.476,22.3,29.4,0.756,12.2,35.8,48.0,21.3,8.2,5.2,15.4,21.4,106.8
14,15,Portland Trail Blazers*,82,19855,40.6,87.5,0.464,6.6,19.3,0.343,34.0,68.2,0.499,19.2,25.8,0.745,11.0,32.0,43.0,21.8,6.7,4.6,15.2,24.3,107.1
15,16,Denver Nuggets*,82,19780,39.5,86.6,0.456,6.7,19.2,0.349,32.8,67.4,0.487,21.7,28.3,0.768,12.2,32.2,44.4,22.1,7.4,5.6,15.8,24.9,107.5
16,17,Houston Rockets,82,19905,41.5,87.3,0.475,6.3,17.2,0.364,35.2,70.1,0.503,18.8,24.6,0.764,11.2,33.7,45.0,22.0,7.7,6.8,15.5,23.6,108.0
17,18,Washington Wizards,82,19830,40.7,88.0,0.463,7.0,19.4,0.36,33.7,68.6,0.492,21.0,27.6,0.761,12.3,33.4,45.8,23.4,7.5,5.5,14.7,22.2,109.4
18,19,Memphis Grizzlies,82,19905,42.2,88.3,0.478,7.4,20.9,0.354,34.9,67.4,0.517,18.1,23.9,0.755,11.7,30.3,42.0,24.2,8.2,6.5,15.0,23.7,109.9
19,20,Sacramento Kings,82,19880,41.1,87.7,0.469,6.4,17.9,0.357,34.7,69.8,0.497,21.4,27.6,0.774,11.7,32.6,44.3,21.6,7.5,6.0,14.4,21.2,109.9
20,21,New Orleans Hornets,82,19830,42.5,87.9,0.483,7.0,19.8,0.355,35.4,68.1,0.52,18.1,24.1,0.751,11.4,33.8,45.2,25.2,7.5,4.8,15.4,20.9,110.1
21,22,Los Angeles Clippers,82,19705,42.0,89.4,0.47,7.0,19.2,0.363,35.0,70.2,0.499,19.1,25.1,0.762,11.6,32.8,44.3,25.3,9.0,4.8,13.9,20.9,110.1
22,23,Phoenix Suns*,82,19730,41.3,91.4,0.452,7.2,20.2,0.355,34.1,71.2,0.479,20.5,27.0,0.76,13.8,30.5,44.3,21.7,8.2,4.7,13.6,22.8,110.2
23,24,Philadelphia 76ers,82,19805,41.1,87.0,0.472,8.0,20.4,0.393,33.1,66.6,0.497,20.1,26.2,0.766,11.8,32.7,44.4,24.0,8.2,4.4,15.7,20.3,110.3
24,25,New Jersey Nets,82,19780,42.1,87.6,0.481,6.2,17.0,0.366,35.9,70.6,0.509,20.1,26.8,0.748,12.3,35.6,47.9,26.0,8.5,5.6,15.3,21.9,110.5
25,26,Detroit Pistons,82,19780,40.6,84.6,0.48,7.8,20.7,0.375,32.8,63.8,0.515,22.3,29.1,0.767,11.2,33.2,44.3,26.0,7.5,5.5,16.1,23.3,111.4
26,27,New York Knicks,82,19880,43.1,88.7,0.486,7.1,20.2,0.352,36.0,68.5,0.525,18.4,24.4,0.754,12.3,35.0,47.3,22.1,7.5,4.7,15.2,20.2,111.6
27,28,Minnesota Timberwolves,82,19780,42.2,87.9,0.48,7.8,21.3,0.366,34.4,66.6,0.517,19.4,25.0,0.774,11.6,33.3,44.9,26.6,9.1,5.6,14.8,21.3,111.6
