,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Orlando Magic*,82,19730,38.7,89.4,0.433,5.8,17.1,0.342,32.8,72.3,0.454,18.7,24.8,0.755,11.4,34.1,45.5,19.6,7.4,4.1,14.1,24.2,101.9
1,2,Boston Celtics*,82,19880,36.9,85.7,0.431,6.8,19.4,0.349,30.1,66.3,0.454,21.7,28.2,0.771,11.1,30.0,41.2,20.7,7.8,5.2,16.0,24.3,102.3
2,3,Cleveland Cavaliers*,82,19780,37.9,88.1,0.431,6.6,19.8,0.333,31.4,68.3,0.459,20.0,25.9,0.77,12.0,31.6,43.6,21.4,7.1,4.6,15.5,22.8,102.4
3,4,Houston Rockets*,82,19805,40.2,90.5,0.444,6.2,17.4,0.357,34.0,73.0,0.465,17.4,23.2,0.749,11.7,32.2,44.0,21.8,7.9,5.8,13.6,22.7,104.0
4,5,San Antonio Spurs*,82,19905,40.5,89.6,0.453,6.1,16.1,0.379,34.5,73.5,0.469,17.1,22.3,0.769,10.2,35.1,45.2,20.2,7.2,4.8,13.1,20.6,104.3
5,6,Los Angeles Lakers*,82,19780,39.2,87.8,0.447,7.5,21.9,0.345,31.7,65.9,0.481,18.7,24.8,0.753,12.3,31.4,43.7,23.9,8.2,5.0,16.4,23.4,104.7
6,7,Charlotte Bobcats,82,19930,39.3,86.6,0.454,7.6,20.8,0.366,31.7,65.8,0.482,19.9,26.3,0.756,12.0,31.5,43.5,21.9,8.5,6.7,16.4,23.4,106.1
7,8,Denver Nuggets*,82,19730,38.3,87.0,0.44,7.8,21.2,0.366,30.5,65.7,0.464,22.5,28.8,0.782,12.8,30.9,43.6,22.7,8.4,5.8,16.3,25.1,106.8
8,9,New Orleans Hornets*,82,19755,39.4,87.6,0.45,8.0,22.5,0.354,31.5,65.1,0.484,20.1,26.0,0.773,11.4,34.0,45.4,22.8,6.6,4.0,15.1,23.2,107.0
9,10,Utah Jazz*,82,19880,39.1,84.4,0.464,6.9,19.2,0.361,32.2,65.2,0.494,22.1,28.9,0.763,11.8,31.0,42.8,21.3,8.5,5.5,17.1,25.6,107.3
10,11,Atlanta Hawks*,82,19705,40.8,89.8,0.454,7.2,20.3,0.353,33.6,69.5,0.484,18.8,24.5,0.769,13.0,33.7,46.7,23.2,7.2,4.8,15.2,22.8,107.6
11,12,Miami Heat*,82,19955,39.1,85.8,0.455,7.9,20.3,0.389,31.2,65.5,0.476,21.5,27.9,0.771,12.0,33.9,45.9,22.0,7.1,4.5,16.7,21.8,107.6
12,13,Portland Trail Blazers*,82,19830,40.5,88.0,0.46,6.8,18.2,0.374,33.7,69.9,0.482,20.0,24.9,0.803,11.0,30.6,41.6,22.2,7.2,4.5,15.1,24.2,107.8
13,14,Philadelphia 76ers*,82,19755,40.5,87.6,0.462,7.9,21.5,0.367,32.6,66.1,0.493,18.9,24.2,0.782,12.6,30.9,43.5,24.3,7.8,5.4,17.3,24.1,107.8
14,15,Milwaukee Bucks,82,19780,37.4,81.7,0.458,7.4,19.5,0.378,30.0,62.2,0.483,25.7,32.5,0.791,10.9,33.1,44.0,22.7,8.1,4.9,17.7,24.1,107.9
15,16,Detroit Pistons*,82,19905,40.0,88.7,0.451,6.0,17.1,0.354,33.9,71.6,0.474,22.0,28.3,0.775,12.0,34.1,46.1,23.0,6.4,4.8,13.4,22.4,108.0
16,17,Dallas Mavericks*,82,19805,40.7,89.5,0.455,6.8,18.3,0.375,33.8,71.2,0.475,20.2,25.3,0.798,11.7,33.2,45.0,21.3,7.8,4.4,14.1,21.8,108.4
17,18,Chicago Bulls*,82,19930,40.6,88.8,0.458,6.3,18.1,0.347,34.4,70.7,0.486,21.1,26.9,0.786,13.2,32.2,45.4,22.3,8.0,5.8,15.2,22.1,108.7
