,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,71,,2177,5555,0.392,,,,2177,5555,0.392,1904,2617,0.728,,,3865,1666,,,,1911,6258
1,2.0,Syracuse Nationals*,71,,1942,5329,0.364,,,,1942,5329,0.364,2197,2950,0.745,,,3472,1459,,,,2132,6081
2,3.0,Rochester Royals*,70,,2019,5432,0.372,,,,2019,5432,0.372,2005,2747,0.73,,,3625,1520,,,,2210,6043
3,4.0,New York Knicks*,70,,2059,5339,0.386,,,,2059,5339,0.386,1867,2652,0.704,,,4007,1575,,,,2053,5985
4,5.0,Minneapolis Lakers*,70,,2166,5559,0.39,,,,2166,5559,0.39,1641,2221,0.739,,,3406,1351,,,,1917,5973
5,6.0,Baltimore Bullets*,70,,2083,5615,0.371,,,,2083,5615,0.371,1745,2542,0.686,,,3727,1514,,,,2141,5911
6,7.0,Fort Wayne Pistons*,69,,1876,5230,0.359,,,,1876,5230,0.359,1839,2491,0.738,,,3548,1438,,,,2119,5591
7,8.0,Philadelphia Warriors,69,,1987,5546,0.358,,,,1987,5546,0.358,1560,2298,0.679,,,3763,1513,,,,1860,5534
8,9.0,Milwaukee Hawks,71,,1873,5320,0.352,,,,1873,5320,0.352,1643,2400,0.685,,,3429,1427,,,,2120,5389
9,10.0,Indianapolis Olympians*,71,,1829,5204,0.351,,,,1829,5204,0.351,1637,2277,0.719,,,3326,1281,,,,1765,5295
10,,League Average,70,,2001,5413,0.37,,,,2001,5413,0.37,1804,2520,0.716,,,3617,1474,,,,2023,5806
