,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Detroit Pistons*,82,19730,2727,6239,0.437,409,1233,0.332,2318,5006,0.463,1523,2047,0.744,865,2344,3209,1563,477,319,1108,1618,7386
1,2.0,Boston Celtics*,82,19755,2657,6341,0.419,485,1535,0.316,2172,4806,0.452,1605,2160,0.743,899,2290,3189,1539,594,389,1308,1818,7404
2,3.0,San Antonio Spurs*,82,19730,2857,6431,0.444,420,1227,0.342,2437,5204,0.468,1293,1710,0.756,776,2527,3303,1490,566,361,1058,1625,7427
3,4.0,Houston Rockets*,82,19730,2852,6594,0.433,433,1186,0.365,2419,5408,0.447,1410,1912,0.737,894,2441,3335,1548,622,379,1094,1615,7547
4,5.0,New Orleans Hornets*,82,19805,3038,6604,0.46,544,1552,0.351,2494,5052,0.494,1217,1579,0.771,815,2533,3348,1779,470,331,1136,1573,7837
5,6.0,Dallas Mavericks*,82,19730,2903,6551,0.443,408,1168,0.349,2495,5383,0.463,1648,2168,0.76,882,2419,3301,1547,536,357,999,1739,7862
6,7.0,Philadelphia 76ers*,82,19755,3000,6504,0.461,557,1549,0.36,2443,4955,0.493,1332,1726,0.772,923,2293,3216,1903,550,420,1289,1708,7889
7,8.0,Portland Trail Blazers,82,19905,2983,6616,0.451,533,1499,0.356,2450,5117,0.479,1401,1828,0.766,957,2465,3422,1714,488,301,1026,1656,7900
8,9.0,Cleveland Cavaliers*,82,19855,2939,6462,0.455,506,1419,0.357,2433,5043,0.482,1548,2070,0.748,814,2500,3314,1721,559,388,1092,1666,7932
9,10.0,Toronto Raptors*,82,19830,3007,6569,0.458,619,1683,0.368,2388,4886,0.489,1344,1732,0.776,830,2583,3413,1797,470,333,1149,1508,7977
10,11.0,Orlando Magic*,82,19780,3057,6855,0.446,516,1441,0.358,2541,5414,0.469,1489,1975,0.754,900,2519,3419,1764,581,344,1081,1898,8119
11,12.0,Washington Wizards*,82,19905,3015,6537,0.461,683,1768,0.386,2332,4769,0.489,1418,1880,0.754,900,2478,3378,1958,529,360,1149,1656,8131
12,13.0,Utah Jazz*,82,19705,2896,6286,0.461,506,1419,0.357,2390,4867,0.491,1848,2468,0.749,844,2256,3100,1629,619,420,1305,1891,8146
13,14.0,Miami Heat,82,19830,3029,6477,0.468,552,1497,0.369,2477,4980,0.497,1590,2105,0.755,916,2617,3533,1817,631,341,1166,1650,8200
14,15.0,Atlanta Hawks*,82,19855,3115,6733,0.463,512,1413,0.362,2603,5320,0.489,1461,1943,0.752,968,2386,3354,1825,615,421,1123,1793,8203
15,16.0,Chicago Bulls,82,19805,2982,6583,0.453,571,1522,0.375,2411,5061,0.476,1699,2217,0.766,914,2582,3496,1794,648,465,1254,1746,8234
16,17.0,New Jersey Nets,82,19830,2982,6543,0.456,534,1448,0.369,2448,5095,0.48,1774,2311,0.768,896,2517,3413,1810,662,362,1098,1836,8272
17,18.0,Los Angeles Clippers,82,19805,3114,6670,0.467,486,1393,0.349,2628,5277,0.498,1574,2096,0.751,916,2657,3573,1834,590,388,1112,1773,8288
18,19.0,Los Angeles Lakers*,82,19780,3127,7022,0.445,554,1531,0.362,2573,5491,0.469,1501,1995,0.752,988,2521,3509,1793,634,368,1168,1850,8309
19,20.0,Charlotte Bobcats,82,19880,3115,6684,0.466,517,1456,0.355,2598,5228,0.497,1571,2102,0.747,999,2588,3587,1785,625,476,1177,1721,8318
20,21.0,Minnesota Timberwolves,82,19730,3056,6481,0.472,541,1516,0.357,2515,4965,0.507,1742,2266,0.769,871,2545,3416,1899,610,467,1103,1434,8395
21,22.0,New York Knicks,82,19880,3184,6711,0.474,587,1592,0.369,2597,5119,0.507,1535,2078,0.739,924,2573,3497,1773,621,429,1046,1665,8490
22,23.0,Milwaukee Bucks,82,19855,3147,6562,0.48,588,1530,0.384,2559,5032,0.509,1639,2141,0.766,872,2464,3336,1913,647,404,1125,1727,8521
23,24.0,Sacramento Kings,82,19830,3137,6732,0.466,597,1600,0.373,2540,5132,0.495,1722,2287,0.753,970,2465,3435,1878,661,452,1250,1892,8593
24,25.0,Phoenix Suns*,82,19780,3368,7384,0.456,469,1329,0.353,2899,6055,0.479,1407,1879,0.749,1101,2498,3599,1607,601,311,1101,1731,8612
25,26.0,Indiana Pacers,82,19755,3093,6817,0.454,606,1571,0.386,2487,5246,0.474,1850,2443,0.757,929,2800,3729,1820,663,416,1297,1782,8642
26,27.0,Seattle SuperSonics,82,19830,3288,7136,0.461,607,1576,0.385,2681,5560,0.482,1534,2048,0.749,961,2655,3616,1997,706,440,1082,1610,8717
27,28.0,Memphis Grizzlies,82,19805,3394,7076,0.48,591,1625,0.364,2803,5451,0.514,1387,1791,0.774,932,2721,3653,1963,711,403,1096,1842,8766
28,29.0,Denver Nuggets*,82,19855,3334,7303,0.457,621,1710,0.363,2713,5593,0.485,1481,2028,0.73,1042,2680,3722,2107,644,393,1343,1950,8770
29,30.0,Golden State Warriors,82,19780,3273,6998,0.468,572,1556,0.368,2701,5442,0.496,1806,2378,0.759,1053,2803,3856,1939,567,413,1384,1736,8924
30,,League Average,82,19803,3056,6683,0.457,537,1485,0.362,2518,5199,0.484,1545,2045,0.755,918,2524,3442,1784,597,388,1157,1724,8194
