,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Syracuse Nationals*,80,,46.1,103.6,0.445,,,,46.1,103.6,0.445,29.4,37.6,0.782,,,69.0,21.8,,,,28.5,121.6
1,2.0,Cincinnati Royals*,80,,45.9,100.0,0.459,,,,45.9,100.0,0.459,27.3,36.5,0.747,,,69.5,24.1,,,,27.5,119.1
2,3.0,Boston Celtics*,80,,46.8,109.7,0.427,,,,46.8,109.7,0.427,25.2,34.7,0.725,,,72.7,24.5,,,,26.1,118.8
3,4.0,San Francisco Warriors,80,,47.6,105.6,0.45,,,,47.6,105.6,0.45,23.4,35.0,0.669,,,67.0,23.8,,,,23.5,118.5
4,5.0,Los Angeles Lakers*,80,,43.8,99.4,0.441,,,,43.8,99.4,0.441,27.9,36.6,0.761,,,66.0,21.7,,,,22.2,115.5
5,6.0,Detroit Pistons*,80,,44.2,102.4,0.432,,,,44.2,102.4,0.432,25.6,35.7,0.717,,,66.4,21.6,,,,27.3,113.9
6,7.0,New York Knicks,80,,42.9,100.1,0.429,,,,42.9,100.1,0.429,24.6,34.7,0.71,,,61.9,20.7,,,,26.8,110.5
7,8.0,Chicago Zephyrs,80,,42.1,93.1,0.453,,,,42.1,93.1,0.453,25.7,36.8,0.697,,,64.3,22.2,,,,25.8,109.9
8,9.0,St. Louis Hawks*,80,,41.9,97.3,0.431,,,,41.9,97.3,0.431,25.7,35.3,0.729,,,63.7,23.8,,,,26.0,109.6
9,,League Average,80,,44.6,101.2,0.441,,,,44.6,101.2,0.441,26.1,35.9,0.727,,,66.7,22.7,,,,26.0,115.3
