,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Utah Jazz*,62,20,.756,—,101.0,94.4,5.73,West,1
1,Chicago Bulls*,62,20,.756,—,96.7,89.6,7.24,East,8
2,Seattle SuperSonics*,61,21,.744,—,100.6,93.4,6.33,West,8
3,Los Angeles Lakers*,61,21,.744,—,105.5,97.8,6.88,West,9
4,Indiana Pacers*,58,24,.707,4.0,96.0,89.9,6.25,East,9
5,San Antonio Spurs*,56,26,.683,6.0,92.5,88.5,3.30,West,2
6,Phoenix Suns*,56,26,.683,5.0,99.6,94.4,4.44,West,10
7,Miami Heat*,55,27,.671,—,95.0,90.0,5.09,East,1
8,Charlotte Hornets*,51,31,.622,11.0,96.6,94.6,2.45,East,10
9,Atlanta Hawks*,50,32,.610,12.0,95.9,92.3,3.85,East,11
10,Cleveland Cavaliers*,47,35,.573,15.0,92.5,89.8,3.06,East,12
11,Portland Trail Blazers*,46,36,.561,15.0,94.3,92.9,0.83,West,11
12,Minnesota Timberwolves*,45,37,.549,17.0,101.1,100.4,0.17,West,3
13,New York Knicks*,43,39,.524,12.0,91.6,89.1,2.74,East,2
14,New Jersey Nets*,43,39,.524,12.0,99.6,98.1,1.88,East,3
15,Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11,East,4
16,Houston Rockets*,41,41,.500,21.0,98.8,99.5,-1.23,West,4
17,Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53,East,5
18,Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95,East,13
19,Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96,East,6
20,Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33,East,14
21,Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,-1.89,East,7
22,Sacramento Kings,27,55,.329,34.0,93.1,98.7,-5.83,West,12
23,Dallas Mavericks,20,62,.244,42.0,91.4,97.5,-6.33,West,5
24,Vancouver Grizzlies,19,63,.232,43.0,96.6,103.9,-7.47,West,6
25,Golden State Warriors,19,63,.232,42.0,88.3,97.4,-9.20,West,13
26,Los Angeles Clippers,17,65,.207,44.0,95.9,103.3,-7.53,West,14
27,Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33,East,15
28,Denver Nuggets,11,71,.134,51.0,89.0,100.8,-11.74,West,7
