,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Utah Jazz*,82,19705,39.3,87.4,0.449,1.8,5.6,0.315,37.5,81.8,0.459,22.9,29.7,0.77,15.3,29.3,44.6,23.9,9.2,5.7,17.6,24.1,103.1
1,2,Detroit Pistons*,82,19780,41.1,88.0,0.467,1.4,4.9,0.289,39.7,83.2,0.478,21.6,28.4,0.762,14.1,28.1,42.2,24.2,8.0,5.0,16.4,26.7,105.3
2,3,Chicago Bulls*,82,19855,41.5,88.2,0.47,1.4,4.7,0.293,40.1,83.6,0.48,21.1,27.9,0.757,13.0,28.7,41.7,26.3,7.6,5.3,15.8,23.8,105.5
3,4,Houston Rockets*,82,19680,41.4,88.9,0.465,1.3,4.7,0.275,40.1,84.2,0.476,21.6,28.2,0.767,15.1,30.0,45.1,23.4,8.8,4.4,16.8,24.1,105.7
4,5,Cleveland Cavaliers*,82,19780,42.2,88.5,0.476,1.6,5.0,0.318,40.6,83.5,0.486,20.1,25.5,0.788,14.4,28.1,42.6,24.8,8.6,5.6,17.9,25.2,106.0
5,6,Denver Nuggets*,82,19780,41.5,84.6,0.49,1.3,4.3,0.3,40.2,80.3,0.501,22.0,28.8,0.762,13.6,31.6,45.2,25.0,7.1,5.9,18.5,22.9,106.3
6,7,New York Knicks*,82,19805,39.2,82.1,0.477,1.4,4.6,0.304,37.8,77.5,0.487,26.6,34.3,0.776,14.1,27.9,42.1,24.5,8.6,5.5,20.0,24.1,106.4
7,8,Washington Bullets*,82,19880,42.6,89.0,0.478,1.6,4.8,0.328,41.0,84.2,0.487,20.5,27.6,0.744,15.1,29.1,44.2,26.3,8.5,6.5,17.0,24.2,107.2
8,9,Los Angeles Lakers*,82,19805,43.4,91.3,0.476,1.6,5.4,0.298,41.8,85.9,0.487,18.8,24.7,0.761,14.4,27.5,41.9,26.9,9.0,4.8,15.2,23.7,107.3
9,10,Indiana Pacers,82,19705,41.4,87.7,0.472,1.5,4.6,0.321,40.0,83.2,0.481,23.1,30.4,0.76,14.4,31.1,45.5,24.0,8.7,5.1,15.8,23.1,107.4
10,11,Portland Trail Blazers*,82,19730,41.0,86.2,0.476,1.7,5.4,0.305,39.3,80.8,0.487,23.7,30.9,0.768,13.5,28.2,41.7,25.3,7.6,4.4,16.9,25.1,107.4
11,12,Los Angeles Clippers,82,19805,42.2,88.5,0.477,1.5,4.4,0.342,40.7,84.1,0.484,21.6,27.8,0.779,14.9,32.0,47.0,27.6,10.1,5.8,17.5,23.0,107.6
12,13,Atlanta Hawks*,82,19780,40.8,86.7,0.471,1.7,5.1,0.335,39.1,81.6,0.48,24.3,31.2,0.777,14.6,29.6,44.2,24.9,8.1,4.4,16.6,25.3,107.6
13,14,Milwaukee Bucks*,82,19780,41.6,87.8,0.473,1.7,5.5,0.301,39.9,82.3,0.485,22.8,30.0,0.76,14.6,29.8,44.4,26.6,7.7,5.6,16.7,24.3,107.6
14,15,Dallas Mavericks*,82,19755,43.4,92.5,0.47,2.1,6.5,0.323,41.3,86.0,0.481,18.8,24.5,0.766,15.0,28.0,43.0,28.1,7.7,5.5,15.4,25.0,107.7
15,16,Seattle SuperSonics*,82,19855,39.8,82.0,0.485,1.6,4.8,0.325,38.2,77.2,0.495,27.0,36.1,0.749,13.6,27.8,41.4,23.7,7.3,5.1,18.5,23.7,108.1
16,17,Boston Celtics*,82,19780,43.3,89.9,0.482,1.4,4.5,0.301,42.0,85.4,0.491,21.4,27.9,0.767,13.9,27.2,41.1,25.5,9.1,4.3,14.6,24.6,109.4
17,18,New Jersey Nets,82,19780,42.3,85.2,0.497,1.6,4.5,0.361,40.7,80.7,0.504,23.3,29.8,0.783,12.7,30.3,43.0,24.5,10.0,6.4,17.6,23.9,109.6
18,19,Philadelphia 76ers,82,19905,44.0,88.7,0.496,1.8,5.3,0.338,42.2,83.4,0.506,20.6,27.2,0.758,13.9,27.9,41.9,27.8,9.0,5.5,16.1,26.6,110.3
19,20,Phoenix Suns,82,19730,43.4,87.1,0.498,1.5,5.1,0.304,41.8,82.0,0.51,23.1,30.1,0.767,13.3,29.0,42.3,26.7,8.5,5.3,15.6,22.8,111.4
20,21,Sacramento Kings,82,19780,44.7,89.7,0.498,1.4,4.4,0.324,43.3,85.3,0.507,21.3,28.0,0.761,13.9,29.1,43.0,26.2,9.4,6.4,14.4,23.5,112.1
21,22,San Antonio Spurs*,82,19805,44.7,89.2,0.502,1.8,5.2,0.349,42.9,83.9,0.511,21.5,27.8,0.776,15.0,29.2,44.2,28.7,8.0,6.2,16.6,22.9,112.8
22,23,Golden State Warriors,82,19780,43.3,86.5,0.501,1.8,5.6,0.323,41.5,80.9,0.513,24.4,32.2,0.758,14.4,30.0,44.4,27.1,8.9,5.2,16.9,21.6,112.9
