,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Chicago Bulls*,69,13,.841,—,103.1,92.3,10.70,East,8
1,Utah Jazz*,64,18,.780,—,103.1,94.3,7.97,West,1
2,Miami Heat*,61,21,.744,—,94.8,89.3,5.56,East,1
3,New York Knicks*,57,25,.695,4.0,95.4,92.2,3.31,East,2
4,Houston Rockets*,57,25,.695,7.0,100.6,96.1,3.85,West,2
5,Seattle SuperSonics*,57,25,.695,—,100.9,93.2,6.91,West,8
6,Atlanta Hawks*,56,26,.683,13.0,94.8,89.4,5.52,East,9
7,Los Angeles Lakers*,56,26,.683,1.0,100.0,95.7,3.66,West,9
8,Detroit Pistons*,54,28,.659,15.0,94.2,88.9,5.45,East,10
9,Charlotte Hornets*,54,28,.659,15.0,98.9,97.0,2.13,East,11
10,Portland Trail Blazers*,49,33,.598,8.0,99.0,94.8,3.56,West,10
11,Orlando Magic*,45,37,.549,16.0,94.1,94.5,-0.07,East,3
12,Washington Bullets*,44,38,.537,17.0,99.4,97.7,1.77,East,4
13,Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,2.32,East,12
14,Minnesota Timberwolves*,40,42,.488,24.0,96.1,97.6,-1.82,West,3
15,Phoenix Suns*,40,42,.488,17.0,102.8,102.2,0.21,West,11
16,Indiana Pacers,39,43,.476,30.0,95.4,94.4,1.49,East,13
17,Los Angeles Clippers*,36,46,.439,21.0,97.2,99.5,-2.66,West,12
18,Sacramento Kings,34,48,.415,23.0,96.4,99.8,-3.64,West,13
19,Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,-1.38,East,14
20,Golden State Warriors,30,52,.366,27.0,99.6,104.4,-4.90,West,14
21,Toronto Raptors,30,52,.366,39.0,95.5,98.6,-2.56,East,15
22,New Jersey Nets,26,56,.317,35.0,97.2,101.8,-3.89,East,5
23,Dallas Mavericks,24,58,.293,40.0,90.6,97.0,-6.47,West,4
24,Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,-5.89,East,6
25,Denver Nuggets,21,61,.256,43.0,97.8,104.1,-6.40,West,5
26,San Antonio Spurs,20,62,.244,44.0,90.5,98.3,-7.93,West,6
27,Boston Celtics,15,67,.183,46.0,100.6,107.9,-6.62,East,7
28,Vancouver Grizzlies,14,68,.171,50.0,89.2,99.4,-10.17,West,7
